location,coverage_date,status
North Studio,2026-06-01,Confirmed
Riverside,2026-06-01,Away
Market Square,2026-06-01,Confirmed
Garden Court,2026-06-01,Unconfirmed
Park Lane,2026-06-01,Unconfirmed
Old Town,2026-06-01,Confirmed
North Studio,2026-06-02,Confirmed
Riverside,2026-06-02,Confirmed
Market Square,2026-06-02,Confirmed
Garden Court,2026-06-02,Confirmed
Park Lane,2026-06-02,Confirmed
Old Town,2026-06-02,Unconfirmed
North Studio,2026-06-03,Confirmed
Riverside,2026-06-03,Confirmed
Market Square,2026-06-03,Confirmed
Garden Court,2026-06-03,Unconfirmed
Park Lane,2026-06-03,Unconfirmed
Old Town,2026-06-03,Confirmed
North Studio,2026-06-04,Confirmed
Riverside,2026-06-04,Confirmed
Market Square,2026-06-04,Confirmed
Garden Court,2026-06-04,Confirmed
Park Lane,2026-06-04,Confirmed
Old Town,2026-06-04,Confirmed
North Studio,2026-06-05,Confirmed
Riverside,2026-06-05,Away
Market Square,2026-06-05,Away
Garden Court,2026-06-05,Confirmed
Park Lane,2026-06-05,Confirmed
Old Town,2026-06-05,Away
North Studio,2026-06-06,Confirmed
Riverside,2026-06-06,Confirmed
Market Square,2026-06-06,Confirmed
Garden Court,2026-06-06,Confirmed
Park Lane,2026-06-06,Confirmed
Old Town,2026-06-06,Confirmed
North Studio,2026-06-07,Confirmed
Riverside,2026-06-07,Confirmed
Market Square,2026-06-07,Confirmed
Garden Court,2026-06-07,Confirmed
Park Lane,2026-06-07,Confirmed
Old Town,2026-06-07,Confirmed
North Studio,2026-06-08,Confirmed
Riverside,2026-06-08,Confirmed
Market Square,2026-06-08,Confirmed
Garden Court,2026-06-08,Confirmed
Park Lane,2026-06-08,Confirmed
Old Town,2026-06-08,Confirmed
North Studio,2026-06-09,Unconfirmed
Riverside,2026-06-09,Confirmed
Market Square,2026-06-09,Unconfirmed
Garden Court,2026-06-09,Unconfirmed
Park Lane,2026-06-09,Confirmed
Old Town,2026-06-09,Confirmed
North Studio,2026-06-10,Away
Riverside,2026-06-10,Confirmed
Market Square,2026-06-10,Unconfirmed
Garden Court,2026-06-10,Confirmed
Park Lane,2026-06-10,Confirmed
Old Town,2026-06-10,Unconfirmed
North Studio,2026-06-11,Unconfirmed
Riverside,2026-06-11,Confirmed
Market Square,2026-06-11,Unconfirmed
Garden Court,2026-06-11,Unconfirmed
Park Lane,2026-06-11,Confirmed
Old Town,2026-06-11,Confirmed
North Studio,2026-06-12,Confirmed
Riverside,2026-06-12,Unconfirmed
Market Square,2026-06-12,Unconfirmed
Garden Court,2026-06-12,Unconfirmed
Park Lane,2026-06-12,Confirmed
Old Town,2026-06-12,Unconfirmed
North Studio,2026-06-13,Confirmed
Riverside,2026-06-13,Confirmed
Market Square,2026-06-13,Confirmed
Garden Court,2026-06-13,Confirmed
Park Lane,2026-06-13,Confirmed
Old Town,2026-06-13,Confirmed
North Studio,2026-06-14,Confirmed
Riverside,2026-06-14,Unconfirmed
Market Square,2026-06-14,Confirmed
Garden Court,2026-06-14,Confirmed
Park Lane,2026-06-14,Confirmed
Old Town,2026-06-14,Confirmed
North Studio,2026-06-15,Confirmed
Riverside,2026-06-15,Confirmed
Market Square,2026-06-15,Unconfirmed
Garden Court,2026-06-15,Unconfirmed
Park Lane,2026-06-15,Confirmed
Old Town,2026-06-15,Confirmed
North Studio,2026-06-16,Confirmed
Riverside,2026-06-16,Confirmed
Market Square,2026-06-16,Unconfirmed
Garden Court,2026-06-16,Confirmed
Park Lane,2026-06-16,Confirmed
Old Town,2026-06-16,Confirmed
North Studio,2026-06-17,Unconfirmed
Riverside,2026-06-17,Confirmed
Market Square,2026-06-17,Unconfirmed
Garden Court,2026-06-17,Away
Park Lane,2026-06-17,Confirmed
Old Town,2026-06-17,Confirmed
North Studio,2026-06-18,Confirmed
Riverside,2026-06-18,Confirmed
Market Square,2026-06-18,Unconfirmed
Garden Court,2026-06-18,Confirmed
Park Lane,2026-06-18,Confirmed
Old Town,2026-06-18,Confirmed
North Studio,2026-06-19,Confirmed
Riverside,2026-06-19,Confirmed
Market Square,2026-06-19,Unconfirmed
Garden Court,2026-06-19,Confirmed
Park Lane,2026-06-19,Confirmed
Old Town,2026-06-19,Confirmed
North Studio,2026-06-20,Confirmed
Riverside,2026-06-20,Confirmed
Market Square,2026-06-20,Confirmed
Garden Court,2026-06-20,Confirmed
Park Lane,2026-06-20,Confirmed
Old Town,2026-06-20,Confirmed
North Studio,2026-06-21,Confirmed
Riverside,2026-06-21,Confirmed
Market Square,2026-06-21,Confirmed
Garden Court,2026-06-21,Confirmed
Park Lane,2026-06-21,Unconfirmed
Old Town,2026-06-21,Confirmed
North Studio,2026-06-22,Away
Riverside,2026-06-22,Away
Market Square,2026-06-22,Confirmed
Garden Court,2026-06-22,Confirmed
Park Lane,2026-06-22,Unconfirmed
Old Town,2026-06-22,Away
North Studio,2026-06-23,Confirmed
Riverside,2026-06-23,Confirmed
Market Square,2026-06-23,Confirmed
Garden Court,2026-06-23,Away
Park Lane,2026-06-23,Confirmed
Old Town,2026-06-23,Confirmed
North Studio,2026-06-24,Confirmed
Riverside,2026-06-24,Confirmed
Market Square,2026-06-24,Away
Garden Court,2026-06-24,Confirmed
Park Lane,2026-06-24,Unconfirmed
Old Town,2026-06-24,Confirmed
North Studio,2026-06-25,Unconfirmed
Riverside,2026-06-25,Unconfirmed
Market Square,2026-06-25,Confirmed
Garden Court,2026-06-25,Unconfirmed
Park Lane,2026-06-25,Confirmed
Old Town,2026-06-25,Confirmed
North Studio,2026-06-26,Confirmed
Riverside,2026-06-26,Confirmed
Market Square,2026-06-26,Confirmed
Garden Court,2026-06-26,Confirmed
Park Lane,2026-06-26,Confirmed
Old Town,2026-06-26,Confirmed
North Studio,2026-06-27,Confirmed
Riverside,2026-06-27,Unconfirmed
Market Square,2026-06-27,Confirmed
